Category,Item Name,Item Code,ASIN,Current Price (₹),MRP (₹),Discount (%),Product Ranking,Availability,Seller,Rating,Reviews,Earliest Delivery,Free Delivery,Delhi - 110001,Mumbai - 400001,Bangalore - 560001,Scraped At
Electronics,USB Hub 4-Port,SKU-001,B09W9FND7M,449,699,36,#142 in USB Hubs,In Stock,Amazon,4.3,2847,Today,Yes,Today,Today,Tomorrow,15 Jun 2026 10:30 AM
Electronics,Webcam 720p HD,SKU-002,B08N5WRWNW,1299,1999,35,#67 in Webcams,In Stock,TechBazar,4.1,1203,Tomorrow,Yes,Tomorrow,Tomorrow,Wed 18 Jun,15 Jun 2026 10:32 AM
Electronics,Mechanical Keyboard Pro,SKU-003,B07XJ8C8F5,899,1499,40,#89 in Keyboards,In Stock,Amazon,4.5,5621,Today,Yes,Today,Fri 20 Jun,Today,15 Jun 2026 10:35 AM
Electronics,Wireless Mouse Compact,SKU-004,B08KTZ8249,,,, ,Out of Stock,,3.9,412,Not Available,N/A,Out of Stock,Out of Stock,Out of Stock,15 Jun 2026 10:37 AM
Electronics,HDMI Cable 1.5m,SKU-005,B09XYZ1234,299,499,40,#211 in Cables,In Stock,Amazon,4.4,8934,Today,Yes,Today,Today,Today,15 Jun 2026 10:39 AM
Peripherals,Laptop Stand Adjustable,SKU-006,B07ABC5678,799,1299,38,#55 in Laptop Stands,In Stock,FurniTech,4.2,673,Tomorrow,No,Tomorrow,Wed 18 Jun,Tomorrow,15 Jun 2026 10:41 AM
Peripherals,USB-C Hub 7-in-1,SKU-007,B08DEF9012,1599,2499,36,#33 in USB-C Hubs,In Stock,Amazon,4.6,3201,Amazon Now – 10 Minutes,Yes,Amazon Now – 10 Minutes,Tomorrow,Tomorrow,15 Jun 2026 10:43 AM
Peripherals,Screen Cleaning Kit,SKU-008,B06GHI3456,199,399,50,#18 in Cleaning Kits,In Stock,CleanPro,4.0,291,Fri 20 Jun,No,Fri 20 Jun,Fri 20 Jun,Thu 19 Jun,15 Jun 2026 10:45 AM
Networking,WiFi Adapter USB,SKU-009,B09JKL7890,549,799,31,#102 in WiFi Adapters,In Stock,NetGear India,4.3,1876,Tomorrow,Yes,Tomorrow,Today,Wed 18 Jun,15 Jun 2026 10:47 AM
Networking,Ethernet Cable 5m,SKU-010,B07MNO2345,349,599,42,#77 in Network Cables,In Stock,Amazon,4.5,4102,Today,Yes,Today,Today,Today,15 Jun 2026 10:49 AM
